Case,Potential Impact,Why This Matters
Mayday Health v. Jackley,Censorship of accurate information on reproductive health care will prevent individuals from accessing the critical health information they need to make informed health care decisions. ,"Plaintiff, a New York-based nonprofit, alleges that the defendant is unlawfully seeking to censor their publication of truthful information about reproductive health care in violation of the First Amendment. Plaintiff operates an educational website that provides unbiased information on how to access reproductive health care, including medication abortion. The defendant allegedly sought to prevent the plaintiff’s website from publicizing its website to audiences in South Dakota and threatened to prosecute the plaintiff under state law."
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,The increasing consolidation of certain health care services by private equity-backed groups and the resulting impact on competition within health care markets could lead to higher costs and lower-quality care for patients.,"Plaintiffs, employee benefit plans, filed a class action complaint alleging that a provider of anesthesia services and a private equity firm violated federal antitrust law by engaging in various practices to consolidate and monopolize the anesthesiology market in Texas. The monopolization of specialty health care services enables providers to maintain greater leverage within the commercial market and further drive up health care costs."
ACA International et al. v. Fulford et al.,"Including medical debt in credit reporting can create financial barriers for millions of people by, for instance, making it harder to obtain loans, housing, and employment.","Plaintiffs claim that a Colorado law – which bars credit reporting agencies from including adverse information about medical debt on credit reports – is preempted by the federal Fair Credit Reporting Act and violates the First Amendment. More than 100 million people are affected by medical debt, which can result in significant financial burdens for families and cause consumers to delay or forego needed medical care."
State of Colorado et al. v. Department of Health and Human Services et al.,Termination of the public health funding will limit local governments in providing essential public health services to their residents.,"Plaintiffs allege that defendants arbitrarily terminated $11 billion of public health funding in violation of the Administrative Procedure Act. The funding was appropriated under COVID-19-related laws and is used to support public health efforts such as mitigating the spread of infectious diseases, ensuring access to immunizations, and bolstering emergency preparedness."
Bryant v. Stein et al.,Overriding the FDA’s expertise and preventing individuals from accessing effective medication for abortion services will jeopardize their health and safety.,"The plaintiff alleges that North Carolina’s legislation, which imposes several requirements to access and prescribe mifepristone, conflicts with the Food and Drug Administration’s (FDA’s) exclusive authority to impose restrictions on the prescribing, dispensing and administration of drugs. Ensuring that individuals have access to FDA-approved medication abortions enables patients to receive necessary reproductive health care."
Association for Accessible Medicines v. Raoul,"The inability for state policymakers to address prescription drug affordability could negate savings for patients, and more broadly restrict state regulatory authority in the health care arena.",The plaintiff argues that an Illinois law imposing penalties for increasing prices of certain generic drugs violates the Due Process Clause of the Fourteenth Amendment as well as the Dormant Commerce Clause. Price gouging laws are one approach states are currently pursuing to lower prescription drug costs for their residents.
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Successful challenges to Medicare’s negotiation authority would negate savings to Medicare beneficiaries and taxpayers, and could severely restrict federal regulatory authority in the health care arena. ","The plaintiff argues that the Inflation Reduction Act’s Medicare drug negotiation process violates the First Amendment, the Takings Clause of the Fifth Amendment, and the Excessive Fines Clause. Medicare’s authority to negotiate the price of certain single-source, high-priced drugs is estimated to result in substantial savings for Medicare beneficiaries and the federal government. "
Braidwood Management Inc. et al. v. Xavier Becerra et al.,Striking down the requirement for insurers and employers to cover preventive services without cost-sharing would jeopardize access to needed services for consumers.,"The plaintiffs argue that the Affordable Care Act’s preventive services requirement is unconstitutional because it violates the Appointments Clause, the nondelegation doctrine, and the Religious Freedom Restoration Act. The preventive services requirement is a popular provision of the law that has been in effect since 2010 and extends coverage of evidence-based preventive services (such as cancer screening, tobacco cessation, contraception, and immunizations), without cost-sharing, to more than 150 million people each year. That guaranteed benefit could go away if the courts agree with the plaintiffs."
State of Washington et al. v. Department of Health and Human Services et al.,Allowing for restructuring of sexual health education programs based on vague notions of “gender identity” could exacerbate health and sexual-wellness risks for adolescents and young adults.,"Plaintiffs allege that the Department of Health and Human Services directing plaintiffs to remove all references to “gender ideology,” a vague, ill-defined term that appears sweeping in scope, violates the Administrative Procedure Act, the Spending Clause, and Separation of Powers principles. Through threats of defunding and coercive terms and conditions, plaintiffs argue that the agency is attempting to force changes to their sexual health curricula in violation of laws requiring that federally funded sexual health education content be medically accurate, complete, and culturally appropriate. Federal funding has been instrumental in expanding access to sexual health education programs, and its revocation would have severe impacts on at-risk adolescents and public health goals."
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,The potential wrongful denial of claims by health insurers relying on AI tools could jeopardize access to needed health care services.,"Plaintiffs, estates of patients who had post-acute care coverage terminated, filed a class action complaint alleging that a national health insurance company’s reliance on artificial intelligence (AI) tools to deny certain medical claims under Medicare Advantage plans constituted breach of contract, breach of the implied covenant of good faith and fair dealing, unjust enrichment, and insurance bad faith. The improper usage of AI to make coverage decisions, while ignoring clinical determinations made by providers, can prevent patients from being able to afford critical treatments and harm patient health."
